,id,address,area,bedrooms,bike_score,transit_score,walk_score,datetime,distance_to_nearest_intersection,has_image,has_map,name,price,side_of_street,url,longitude,latitude,includes_area,advertises_no_fee,is_repost,postal_code,neighborhood,borough
0,21082,3950 Sedgwick Ave,1100.0,3.0,85.0,100.0,85.0,2019-06-21 14:48:00+00:00,13.6759,True,True,* Three (3) Bedroom Two (2) Bath PVT House On Saxon Ave,2600,R,https://newyork.craigslist.org/brx/abo/d/bronx-three-3-bedroom-two-2-bath-pvt/6917229984.html,40.8825,-73.8904,True,False,True,10463,Kingsbridge and Riverdale,Bronx
1,21125,1030 Castle Hill Ave,1000.0,2.0,76.0,85.0,93.0,2019-06-21 15:52:00+00:00,11.8881,True,True,Beautiful Large 2br w/ washer/dryer and dishwasher inside Apt,1850,R,https://newyork.craigslist.org/brx/abo/d/bronx-beautiful-large-2br-washer-dryer/6915193239.html,40.8285,-73.8502,True,False,True,10472,Southeast Bronx,Bronx
6,21263,Henry Hudson Pkwy S,900.0,2.0,37.0,68.0,63.0,2019-06-21 18:30:00+00:00,NaN,True,True,Lovely Spacious 2-bedroom in Fieldston/Riverdale,2300,R,https://newyork.craigslist.org/brx/abo/d/bronx-lovely-spacious-2-bedroom-in/6907545181.html,40.9011,-73.9053,True,False,True,10471,Kingsbridge and Riverdale,Bronx
8,21300,1814 Paulding Ave,960.0,2.0,75.0,86.0,93.0,2019-06-21 19:10:00+00:00,210.4717,True,True,"2.5 bedrooms, 1bath apt, near Einstein Montefiore /Jacobi hospital",2000,R,https://newyork.craigslist.org/brx/abo/d/bronx-25-bedrooms-1bath-apt-near/6917438468.html,40.8490,-73.8558,True,False,True,10462,Southeast Bronx,Bronx
9,21371,94 Fordham St,700.0,1.0,56.0,37.0,61.0,2019-06-21 20:53:00+00:00,111.6740,True,True,1 BEDROOM APT,1600,R,https://newyork.craigslist.org/brx/abo/d/bronx-1-bedroom-apt/6915434905.html,40.8469,-73.7874,True,False,True,10464,Southeast Bronx,Bronx
10,21379,Henry Hudson Pkwy S,1000.0,2.0,37.0,68.0,63.0,2019-06-21 20:45:00+00:00,NaN,True,True,BEAUTIFULLY RENOVATED SUNNY & SPACIOUS 2 BEDROOM NEAR TRAIN & PARK,2245,R,https://newyork.craigslist.org/brx/abo/d/bronx-beautifully-renovated-sunny/6898848153.html,40.9011,-73.9053,True,False,True,10471,Kingsbridge and Riverdale,Bronx
11,21384,3095 Kingsbridge Ave,900.0,2.0,68.0,92.0,98.0,2019-06-21 20:39:00+00:00,11.5590,True,True,"Bright 2 bedroom, 1 bath for Rent",1700,L,https://newyork.craigslist.org/brx/abo/d/bronx-bright-2-bedroom-1-bath-for-rent/6917565598.html,40.8798,-73.9067,True,False,True,10463,Kingsbridge and Riverdale,Bronx
15,21556,242 E 236th St,900.0,2.0,62.0,79.0,79.0,2019-06-22 00:10:00+00:00,187.1507,True,True,WOODLAWN- BROWNSTONE BUILDING-HEART OF WOODLAWN,1750,R,https://newyork.craigslist.org/brx/abo/d/bronx-woodlawn-brownstone-building/6903008137.html,40.8979,-73.8690,True,False,True,10470,Northeast Bronx,Bronx
16,21557,559 E 234th St,800.0,1.0,56.0,87.0,83.0,2019-06-22 00:10:00+00:00,31.8128,True,True,WOODLAWN- ELEVATOR BUILDING -STAINLESS APPLIANCES,1700,L,https://newyork.craigslist.org/brx/abo/d/woodlawn-elevator-building-stainless/6905346134.html,40.8974,-73.8629,True,False,True,10470,Northeast Bronx,Bronx
17,21559,579 E 234th St,950.0,1.0,56.0,87.0,83.0,2019-06-22 00:08:00+00:00,0.0000,True,True,WOODLAWN- ELEVATOR BUILDING- 20 MINUTS TO GRAND CENTRAL STATION!!!,1600,L,https://newyork.craigslist.org/brx/abo/d/bronx-woodlawn-elevator-building-20/6914018682.html,40.8974,-73.8626,True,False,True,10470,Northeast Bronx,Bronx
22,21706,2627 Webster Ave,1200.0,2.0,63.0,,98.0,2019-06-22 03:44:00+00:00,28.9101,False,True,2 Bdrm 2 Bath,2000,L,https://newyork.craigslist.org/brx/abo/d/bronx-2-bdrm-2-bath/6917703118.html,40.8633,-73.8895,True,False,True,10458,Bronx Park and Fordham,Bronx
38,22105,1208 Webster Ave,750.0,1.0,81.0,96.0,94.0,2019-06-23 14:32:00+00:00,82.6130,True,True,"Great, Updated, 1 Bedroom Apartment",750,L,https://newyork.craigslist.org/brx/abo/d/bronx-great-updated-1-bedroom-apartment/6918606274.html,40.8316,-73.9099,True,False,True,10456,High Bridge and Morrisania,Bronx
61,22954,Laurel Dr,950.0,1.0,67.0,95.0,93.0,2019-06-23 20:49:00+00:00,52.1027,True,True,Super Amazing 1 bedroom apt for rent,750,R,https://newyork.craigslist.org/brx/abo/d/super-amazing-1-bedroom-apt-for-rent/6918850766.html,40.8407,-73.8621,True,False,True,10462,Southeast Bronx,Bronx
63,22981,836A E 223rd St,1000.0,2.0,86.0,87.0,89.0,2019-06-23 22:26:00+00:00,141.8829,False,True,Brand new Massive 2 Bedroom Apt!!!,2000,R,https://newyork.craigslist.org/brx/abo/d/bronx-brand-new-massive-2-bedroom-apt/6918912301.html,40.8850,-73.8571,True,False,True,10466,Northeast Bronx,Bronx
64,23234,2419 Morris Ave,950.0,1.0,76.0,100.0,98.0,2019-06-24 02:01:00+00:00,150.6615,True,True,AMAZING  APARTMENT WITH ELEVATOR & LAUNDRY,850,L,https://newyork.craigslist.org/brx/nfb/d/bronx-amazing-apartment-with-elevator/6919003602.html,40.8612,-73.9001,True,False,True,10468,Bronx Park and Fordham,Bronx
72,23352,1610 Matthews Ave,795.0,1.0,68.0,,81.0,2019-06-24 08:30:00+00:00,0.0000,True,True,Sunny 1 bedroom large- 800SF,1550,R,https://newyork.craigslist.org/brx/abo/d/bronx-sunny-1-bedroom-large-800sf/6910223251.html,40.8434,-73.8602,True,False,True,10462,Southeast Bronx,Bronx
73,23353,3625 Kingsbridge Ave,785.0,1.0,78.0,,96.0,2019-06-24 08:30:00+00:00,109.5957,True,True,Lovely 1 bedroom for rent Elevator/Laundry - Parking!,1575,L,https://newyork.craigslist.org/brx/abo/d/bronx-lovely-1-bedroom-for-rent/6910225498.html,40.8846,-73.9021,True,False,True,10463,Kingsbridge and Riverdale,Bronx
77,23393,340 E 139th St,925.0,2.0,88.0,,98.0,2019-06-24 09:38:00+00:00,64.3652,True,True,Amazing 2 Bedroom 1 Bath in Heart of Mott Haven,2300,R,https://newyork.craigslist.org/brx/abo/d/bronx-amazing-2-bedroom-1-bath-in-heart/6916383861.html,40.8103,-73.9243,True,False,True,10454,Hunts Point and Mott Haven,Bronx
79,23465,Bronx and Pelham Pkwy,1000.0,1.0,79.0,,84.0,2019-06-24 09:23:00+00:00,45.6848,True,True,Modern 1BR w/Laundry Elevator Parking near Jacobi & Einstein Hospitals,1749,R,https://newyork.craigslist.org/brx/fee/d/bronx-modern-1br-laundry-elevator/6919097267.html,40.8574,-73.8444,True,False,True,10461,Southeast Bronx,Bronx
82,23499,810 E 165th St,850.0,3.0,68.0,,95.0,2019-06-24 10:44:00+00:00,19.8176,True,True,Completamente Renovado Apartamento de 3 dormitorios!!!,1875,R,https://newyork.craigslist.org/brx/abo/d/bronx-completamente-renovado/6917045359.html,40.8243,-73.9011,True,False,True,10459,Hunts Point and Mott Haven,Bronx
83,23507,806 E 165th St,850.0,3.0,68.0,,95.0,2019-06-24 10:42:00+00:00,0.0000,True,True,Amazing 3 Bedroom Apartment For Rent,1975,R,https://newyork.craigslist.org/brx/abo/d/bronx-amazing-3-bedroom-apartment-for/6905921776.html,40.8243,-73.9012,True,False,True,10456,High Bridge and Morrisania,Bronx
84,23508,3950 Sedgwick Ave,1100.0,3.0,85.0,,85.0,2019-06-24 10:42:00+00:00,13.6759,True,True,* *Three (3) Bedroom Two (2) Bath PVT House On Saxon Ave,2600,R,https://newyork.craigslist.org/brx/abo/d/bronx-three-3-bedroom-two-2-bath-pvt/6919079672.html,40.8825,-73.8904,True,False,True,10463,Kingsbridge and Riverdale,Bronx
86,23513,2627 Webster Ave,1150.0,3.0,63.0,,98.0,2019-06-24 10:41:00+00:00,28.9101,True,True,3 dormitorios para alquilar!!!,2150,L,https://newyork.craigslist.org/brx/abo/d/bronx-3-dormitorios-para-alquilar/6917036510.html,40.8633,-73.8895,True,False,True,10458,Bronx Park and Fordham,Bronx
88,23529,2627 Webster Ave,1150.0,3.0,63.0,,98.0,2019-06-24 10:37:00+00:00,28.9101,True,True,Tres Dormitorios Para Alquilar!!!,2150,L,https://newyork.craigslist.org/brx/abo/d/bronx-tres-dormitorios-para-alquilar/6916262527.html,40.8633,-73.8895,True,False,True,10458,Bronx Park and Fordham,Bronx
93,23585,1208 Webster Ave,850.0,3.0,81.0,,94.0,2019-06-24 10:18:00+00:00,82.6130,True,True,***Estupendo Apartamento de 3 dormitorios***,1875,L,https://newyork.craigslist.org/brx/abo/d/bronx-estupendo-apartamento-de-3/6916255734.html,40.8316,-73.9099,True,False,True,10456,High Bridge and Morrisania,Bronx
101,23648,1000 Rhinelander Ave,960.0,2.0,72.0,,92.0,2019-06-24 11:33:00+00:00,0.8473,True,True,"2.5 bedrooms, 1bath apt, near Einstein Montefiore /Jacobi hospital",2000,R,https://newyork.craigslist.org/brx/abo/d/bronx-25-bedrooms-1bath-apt-near/6919123418.html,40.8501,-73.8578,True,False,True,10462,Southeast Bronx,Bronx
102,23679,3301 Steuben Ave,500.0,1.0,82.0,,96.0,2019-06-24 11:26:00+00:00,53.4122,True,True,"1 BR - BEAUTIFUL, SPACIOUS,  WALKUP",1595,L,https://newyork.craigslist.org/brx/abo/d/bronx-1-br-beautiful-spacious-walkup/6917019874.html,40.8786,-73.8815,True,False,True,10467,Bronx Park and Fordham,Bronx
121,24294,Metropolitan Oval,724.0,1.0,65.0,,96.0,2019-06-24 17:37:00+00:00,2.5077,True,True,"LUXURY AFFORDABLE 1 BR, NEW KITCHEN , BATH",1545,R,https://newyork.craigslist.org/brx/abo/d/bronx-luxury-affordable-1-br-new/6919500657.html,40.8381,-73.8594,True,False,True,10462,Southeast Bronx,Bronx
129,24644,4051 White Plains Rd,975.0,1.0,82.0,90.0,93.0,2019-06-24 20:28:00+00:00,0.0000,False,True,Fully Renovated One Bedroom Apartment  $1450,1450,L,https://newyork.craigslist.org/brx/abo/d/bronx-fully-renovated-one-bedroom/6904861946.html,40.8899,-73.8593,True,False,True,10466,Northeast Bronx,Bronx
130,24650,2627 Webster Ave,985.0,1.0,63.0,100.0,98.0,2019-06-24 20:25:00+00:00,28.9101,False,True,Fully Renovated One Bedroom Apartment  $1600,1600,L,https://newyork.craigslist.org/brx/abo/d/bronx-fully-renovated-one-bedroom/6907803614.html,40.8633,-73.8895,True,False,True,10458,Bronx Park and Fordham,Bronx
131,24651,Purdy St,990.0,2.0,67.0,86.0,94.0,2019-06-24 20:25:00+00:00,9.2991,False,True,Beautiful Two Bedroom Apartment $1850,1850,R,https://newyork.craigslist.org/brx/abo/d/bronx-beautiful-two-bedroom-apartment/6910416214.html,40.8406,-73.8542,True,False,True,10462,Southeast Bronx,Bronx
132,24835,3051 Bronxwood Ave,975.0,3.0,82.0,91.0,92.0,2019-06-24 22:11:00+00:00,0.0000,False,True,Fully Renovated Three Bedroom Apartment  $2400,2400,L,https://newyork.craigslist.org/brx/abo/d/bronx-fully-renovated-three-bedroom/6919696899.html,40.8713,-73.8614,True,False,True,10469,Northeast Bronx,Bronx
134,24941,Webster Ave,950.0,1.0,82.0,100.0,91.0,2019-06-24 22:50:00+00:00,2.3255,False,True,Fully Renovated One Bedroom Apartment  $1400,1400,R,https://newyork.craigslist.org/brx/abo/d/bronx-fully-renovated-one-bedroom/6919709683.html,40.8786,-73.8716,True,False,True,10467,Bronx Park and Fordham,Bronx
135,24958,824 E 223rd St,1200.0,3.0,86.0,87.0,89.0,2019-06-25 00:35:00+00:00,123.1730,True,True,Brand new HUGE 3 bedroom in private house,2200,R,https://newyork.craigslist.org/brx/abo/d/bronx-brand-new-huge-3-bedroom-in/6919762446.html,40.8851,-73.8573,True,False,True,10466,Northeast Bronx,Bronx
136,25031,3447 Dekalb Ave,1100.0,3.0,81.0,100.0,97.0,2019-06-25 01:35:00+00:00,9.6954,True,True,"**GUT RENOVATED 3 BR APT. IN CLEAN, QUIET AND DESIRABLE BLDG**",2100,L,https://newyork.craigslist.org/brx/abo/d/bronx-gut-renovated-3-br-apt-in-clean/6919795151.html,40.8815,-73.8815,True,False,True,10467,Bronx Park and Fordham,Bronx
138,25058,826 E 223rd St,1000.0,2.0,86.0,87.0,89.0,2019-06-25 00:50:00+00:00,116.0601,True,True,Huge 2 Bedroom apartment in private house!!,1900,R,https://newyork.craigslist.org/brx/abo/d/bronx-huge-2-bedroom-apartment-in/6919765178.html,40.8850,-73.8575,True,False,True,10466,Northeast Bronx,Bronx
150,25214,3301 Steuben Ave,550.0,1.0,82.0,,96.0,2019-06-25 09:29:00+00:00,53.4122,True,True,1BR - CLOSE TO SUBWAY & SHOPPING - BEAUTIFUL NEIGHBORHOOD,1595,L,https://newyork.craigslist.org/brx/abo/d/bronx-1br-close-to-subway-shopping/6900623817.html,40.8785,-73.8816,True,False,True,10467,Bronx Park and Fordham,Bronx
159,25449,472 E 139th St,750.0,1.0,89.0,,96.0,2019-06-25 11:36:00+00:00,112.2614,True,True,SoBro No Fee Luxury Units 1 Month Free/No Broker Fee,2200,R,https://newyork.craigslist.org/brx/nfb/d/bronx-sobro-no-fee-luxury-units-1-month/6920024380.html,40.8085,-73.9198,True,True,True,10454,Hunts Point and Mott Haven,Bronx
174,25859,219 E 196th St,620.0,1.0,71.0,,97.0,2019-06-25 14:27:00+00:00,50.1469,True,True,"Great access to parks, schools, shopping and multiple modes",750,L,https://newyork.craigslist.org/brx/abo/d/bronx-great-access-to-parks-schools/6920131311.html,40.8676,-73.8922,True,False,True,10458,Bronx Park and Fordham,Bronx
192,26463,94 Fordham St,950.0,2.0,56.0,37.0,61.0,2019-06-25 21:44:00+00:00,111.6740,True,True,Beachfront living,2350,R,https://newyork.craigslist.org/brx/abo/d/bronx-beachfront-living/6920504700.html,40.8469,-73.7874,True,False,True,10464,Southeast Bronx,Bronx
193,26467,534 Minnieford Ave,1875.0,3.0,59.0,37.0,64.0,2019-06-25 21:43:00+00:00,46.8828,True,True,3 bed 2 bath,2900,R,https://newyork.craigslist.org/brx/abo/d/bronx-3-bed-2-bath/6915000323.html,40.8531,-73.7888,True,False,True,10464,Southeast Bronx,Bronx
194,26542,3950 Sedgwick Ave,1100.0,3.0,85.0,100.0,85.0,2019-06-25 20:53:00+00:00,13.6759,True,True,** Three (3) Bedroom Two (2) Bath PVT House On Saxon Ave,2600,R,https://newyork.craigslist.org/brx/abo/d/bronx-three-3-bedroom-two-2-bath-pvt/6920445294.html,40.8825,-73.8904,True,False,True,10463,Kingsbridge and Riverdale,Bronx
195,26583,34 W 192nd St,800.0,3.0,77.0,100.0,97.0,2019-06-25 22:21:00+00:00,35.5316,True,True,HUGE 3 BED IN GREAT AREA IN BRONX.. POSSIBLY NEG! CALL TDY WONT LAST!,2200,L,https://newyork.craigslist.org/brx/fee/d/bronx-huge-3-bed-in-great-area-in-bronx/6920541637.html,40.8662,-73.9003,True,False,True,10468,Bronx Park and Fordham,Bronx
202,26898,2627 Webster Ave,950.0,1.0,63.0,,98.0,2019-06-26 07:28:00+00:00,28.9101,True,True,located on Belmont Avenue between 189th and 188th st,800,L,https://newyork.craigslist.org/brx/nfb/d/bronx-located-on-belmont-avenue-between/6920648905.html,40.8633,-73.8895,True,False,True,10458,Bronx Park and Fordham,Bronx
203,26910,1610 Matthews Ave,785.0,1.0,68.0,,81.0,2019-06-26 08:37:00+00:00,0.0000,True,True,Large 1 bedroom new kitchen and bath.Laundry,1545,R,https://newyork.craigslist.org/brx/abo/d/bronx-large-1-bedroom-new-kitchen-and/6918319524.html,40.8434,-73.8602,True,False,True,10462,Southeast Bronx,Bronx
208,27022,3020 Bouck Ave,735.0,1.0,67.0,,91.0,2019-06-26 10:39:00+00:00,82.8749,True,True,935 E 216th St,850,R,https://newyork.craigslist.org/brx/nfb/d/bronx-th-st/6920759687.html,40.8702,-73.8495,True,False,True,10469,Northeast Bronx,Bronx
218,27251,199 W 195th St,700.0,1.0,70.0,,95.0,2019-06-26 12:27:00+00:00,0.3561,True,True,One Bedroom Condo Available Now (parking is $200 extra),1890,R,https://newyork.craigslist.org/brx/abo/d/bronx-one-bedroom-condo-available-now/6920795897.html,40.8706,-73.9027,True,False,True,10468,Bronx Park and Fordham,Bronx
225,27491,639 Logan Ave,1248.0,3.0,58.0,,85.0,2019-06-26 15:23:00+00:00,109.9545,True,True,"LARGE, sunny 3-bedroom with parking",2500,L,https://newyork.craigslist.org/brx/abo/d/bronx-large-sunny-3-bedroom-with-parking/6912184373.html,40.8261,-73.8196,True,False,True,10465,Southeast Bronx,Bronx
226,27494,3020 Bouck Ave,1000.0,3.0,67.0,,91.0,2019-06-26 15:23:00+00:00,82.8749,True,True,Large three-bedroom in Allerton,2150,R,https://newyork.craigslist.org/brx/abo/d/bronx-large-three-bedroom-in-allerton/6907240137.html,40.8702,-73.8495,True,False,True,10469,Northeast Bronx,Bronx
228,27498,200 City Island Ave,1100.0,2.0,54.0,,62.0,2019-06-26 15:22:00+00:00,27.0262,True,True,2-bedroom/2-bath in City Island,2250,R,https://newyork.craigslist.org/brx/abo/d/bronx-2-bedroom-2-bath-in-city-island/6910626682.html,40.8446,-73.7837,True,False,True,10464,Southeast Bronx,Bronx
240,28035,1449 Olmstead Ave,800.0,1.0,69.0,90.0,98.0,2019-06-26 22:16:00+00:00,37.5348,True,True,Really Large 1 bedroom available now - View Thursday 6/27,1625,L,https://newyork.craigslist.org/brx/abo/d/bronx-really-large-1-bedroom-available/6918326967.html,40.8357,-73.8552,True,False,True,10462,Southeast Bronx,Bronx
